Level3	Control1	Control2	Control3	Control4	Control5	Control6	Control7	AB10	AB11	AB12	AB13	AB14	AB8	AB9	AA15	AA16	AA17	AA18	AA19	AA20	AA21
Biotin metabolism	0.08766502	0.102890227	0.107828939	0.110690875	0.127665088	0.120529257	0.130020775	0.108174537	0.126300542	0.121459554	0.112832371	0.119296049	0.124842088	0.129403913	0.131755027	0.139167295	0.165330239	0.155744016	0.168517922	0.169191776	0.156174132
Isoquinoline alkaloid biosynthesis	0.039837648	0.045783265	0.044999528	0.04993683	0.053439016	0.055020296	0.055253405	0.050141829	0.054702601	0.055477346	0.046958423	0.046970233	0.052052288	0.05102175	0.053064682	0.057925117	0.067253016	0.069626894	0.068741601	0.06556216	0.065439118
Streptomycin biosynthesis	0.295547394	0.278633793	0.290822825	0.286720341	0.295722651	0.274194818	0.296974339	0.223191549	0.261888026	0.259352337	0.25740582	0.254006624	0.259821256	0.258972175	0.272626557	0.277043	0.336287101	0.312626977	0.331974828	0.292324623	0.291940148
Indole alkaloid biosynthesis	6.27E-05	0.000191562	0.000311535	0.000795124	0.000712218	0.000747456	0.000662218	0.000215492	0.001108471	0.001084334	0.000296808	0.000481073	0.001235602	0.001108742	0.002940487	0.002580203	0.002169168	0.003321181	0.001184193	0.005634047	0.006483147
Taurine and hypotaurine metabolism	0.107540422	0.124287678	0.119708185	0.120627414	0.127645663	0.128621747	0.126549215	0.121852223	0.128189601	0.125065217	0.118796687	0.12872912	0.125166433	0.123757179	0.13060469	0.128001294	0.142689411	0.138243864	0.137511397	0.137162496	0.145234123
Betalain biosynthesis	0.000233999	0.000493272	0.000330416	0.000797641	0.000725167	0.000747456	0.000671259	0.000217913	0.001874155	0.001584951	0.000623946	0.000841037	0.00124075	0.001133272	0.002947117	0.002601035	0.002173572	0.003334528	0.001186207	0.005645933	0.006492831
Nitrotoluene degradation	0.052644847	0.06588528	0.061189918	0.074829759	0.078742181	0.096435278	0.085023841	0.108157588	0.110446606	0.104947281	0.095524374	0.088456905	0.104995238	0.108197998	0.099472658	0.107428116	0.087081634	0.12018981	0.089430743	0.134545557	0.130582887
Polyketide sugar unit biosynthesis	0.170083166	0.166323516	0.165780779	0.162394089	0.172877985	0.169402606	0.171871607	0.130595385	0.159631068	0.150764938	0.159292504	0.154363927	0.166319686	0.167734002	0.164793236	0.163701546	0.188470967	0.193992093	0.182750391	0.188560298	0.195348998
Carbon fixation pathways in prokaryotes	0.735124508	0.851994963	0.849440044	0.87626984	0.930998501	0.932036794	0.972741993	0.969507962	0.975156807	0.984487787	0.924835044	0.940686405	0.950648634	0.958342998	0.963637648	0.983054463	1.014813854	0.994525636	1.039755737	1.033073024	0.977604405
Riboflavin metabolism	0.125797133	0.187991548	0.173219862	0.179348355	0.206355471	0.191103108	0.199546903	0.184635439	0.214939136	0.212588169	0.182679641	0.202969136	0.206309414	0.20659148	0.205714735	0.209460721	0.257320579	0.207003202	0.261912086	0.252422734	0.26432988
Flavone and flavonol biosynthesis	0.03449428	0.016359376	0.023387167	0.017860104	0.011094415	0.007312653	0.011682613	0.007060388	0.006535324	0.005904045	0.011757479	0.008437283	0.005915442	0.005661452	0.009494424	0.006636509	0.003135934	0.00399298	0.003385423	0.003100311	0.003505451
Other glycan degradation	0.48854553	0.299954619	0.380598457	0.315367464	0.323411747	0.280190654	0.340059202	0.210511421	0.206341496	0.196769059	0.275095118	0.224799092	0.22277123	0.22072058	0.253481899	0.229444649	0.324333555	0.32564031	0.331622389	0.207912971	0.198697091
Lipopolysaccharide biosynthesis	0.142379669	0.164180418	0.197258421	0.185306756	0.262403796	0.159488699	0.267246845	0.146786336	0.225079321	0.215938456	0.175168459	0.191194619	0.182789224	0.186099379	0.21612744	0.25455327	0.464437581	0.256947707	0.497977346	0.331877851	0.3109272
Glycolysis / Gluconeogenesis	0.988084167	1.040769519	1.049961717	1.048967835	1.083215688	1.104672079	1.070786444	1.008923618	1.040478378	1.041215663	1.026819857	1.054492165	1.061757526	1.058740556	1.094454504	1.085545374	1.15462719	1.190110472	1.135328978	1.078969507	1.077100625
Various types of N-glycan biosynthesis	0.001630753	0.001695322	0.002174453	0.00305217	0.001757884	0.002536492	0.001826185	0.000951554	0.001440081	0.00097894	0.001475372	0.001355752	0.002708027	0.002938657	0.004415703	0.005324087	0.002878277	0.005156394	0.001838722	0.009378192	0.010158061
Tetracycline biosynthesis	0.076570595	0.103637318	0.103574438	0.105125004	0.120811607	0.12560494	0.127606956	0.141495887	0.143905677	0.140495183	0.12486716	0.134148762	0.133730696	0.137192089	0.132749554	0.133310501	0.129667796	0.123017152	0.135823721	0.132812156	0.106248086
Drug metabolism - other enzymes	0.356263984	0.307265095	0.326397626	0.302992712	0.289963397	0.309926978	0.302251743	0.318160545	0.278984568	0.284656833	0.316080559	0.29466908	0.291609679	0.297562279	0.305654821	0.271129662	0.229531004	0.296964263	0.22475098	0.250839892	0.249225938
Folate biosynthesis	0.264674061	0.307964296	0.321507468	0.307730748	0.344742678	0.303515589	0.34799678	0.254479043	0.328614282	0.326074324	0.288806761	0.319264366	0.308030308	0.306630904	0.335099471	0.337706049	0.438555113	0.35887881	0.46007914	0.371530131	0.355401397
Phosphonate and phosphinate metabolism	0.087761514	0.062765217	0.073698528	0.066850837	0.061962971	0.052904753	0.059771405	0.036929025	0.042425581	0.041162115	0.052313958	0.049419333	0.042131437	0.04005698	0.051854673	0.050788637	0.066565929	0.062744286	0.065199092	0.040678453	0.033340518
Ethylbenzene degradation	0.04487706	0.055102746	0.051063451	0.055306436	0.052496946	0.054146015	0.056403811	0.072555413	0.060002771	0.068238028	0.056532092	0.063636222	0.053545306	0.051029109	0.055043792	0.055975828	0.044458033	0.04392278	0.043903756	0.045092186	0.035688782
Lipopolysaccharide biosynthesis proteins	0.262066304	0.263739864	0.303554859	0.299427234	0.356811537	0.245464995	0.367454241	0.223937296	0.315288405	0.299667253	0.270123049	0.286807067	0.267276052	0.270677742	0.307328943	0.360930854	0.561285976	0.350165438	0.622859365	0.412646391	0.393854838
Phenylalanine, tyrosine and tryptophan biosynthesis	0.706448831	0.713670596	0.723888213	0.714756426	0.761668657	0.766085436	0.763641519	0.784279315	0.774681826	0.766078671	0.770553604	0.7427063	0.795830339	0.816051187	0.772781157	0.763519938	0.782836204	0.781240442	0.770434389	0.833634895	0.800903535
Glycosphingolipid biosynthesis - globo series	0.156366509	0.095091268	0.124585757	0.103980126	0.110973286	0.090204682	0.119154068	0.064872762	0.06600901	0.066736175	0.086973283	0.070970064	0.068781817	0.067765714	0.084190083	0.078998265	0.126344675	0.113518531	0.132603441	0.073882482	0.059459516
Phenylpropanoid biosynthesis	0.204480951	0.150021608	0.16982759	0.164072406	0.157814573	0.16539279	0.162738421	0.160907112	0.139849976	0.146504621	0.155574827	0.133489389	0.144132916	0.1339787	0.141299177	0.139345856	0.120605739	0.174841361	0.113305927	0.126245045	0.103045247
Inositol phosphate metabolism	0.172010638	0.148400517	0.157558138	0.172406114	0.136794428	0.129420472	0.140157459	0.108915442	0.135533457	0.130428108	0.122921662	0.129570157	0.111574816	0.106711499	0.129752711	0.153309309	0.145508228	0.156553735	0.154845325	0.124947471	0.118384015
Selenocompound metabolism	0.348722959	0.368818684	0.366585666	0.365626371	0.380946017	0.385096197	0.378051992	0.390481096	0.376798325	0.389127818	0.370296686	0.374517131	0.385044321	0.37963616	0.380579222	0.376629322	0.39543822	0.390606874	0.39002244	0.400163926	0.402642674
D-Arginine and D-ornithine metabolism	0.021103291	0.017951733	0.016354024	0.014063133	0.011473186	0.010345651	0.007580477	0.006714148	0.007964228	0.007977453	0.011701151	0.012625647	0.009959463	0.010444741	0.008407074	0.007142431	0.005994391	0.005932745	0.002307968	0.004815882	0.013561834
Citrate cycle (TCA cycle)	0.394885805	0.500692208	0.499683572	0.530297636	0.572914684	0.523615661	0.61064652	0.543451324	0.592763962	0.611051391	0.531944153	0.561139873	0.538163663	0.534769262	0.573799374	0.611165929	0.723832633	0.593590402	0.766644166	0.634715797	0.579266076
Cyanoamino acid metabolism	0.33245403	0.282177686	0.293730486	0.291075911	0.277528717	0.297168962	0.289111345	0.297403102	0.267301838	0.27283861	0.289591026	0.27041021	0.269121731	0.261282871	0.271310466	0.265522854	0.227234109	0.304836773	0.220700959	0.239676793	0.220027566
Lysine biosynthesis	0.71576535	0.710236851	0.709727523	0.708616858	0.740735921	0.780416617	0.76278719	0.842404031	0.765968682	0.76481598	0.791678937	0.76076841	0.785646923	0.799535349	0.765590721	0.749139843	0.709080089	0.770195792	0.690700737	0.768960237	0.71953253
Prenyltransferases	0.196114901	0.262300757	0.252784063	0.256664136	0.294974822	0.277416702	0.293430454	0.273868475	0.284620074	0.294661078	0.261790773	0.279214185	0.285163958	0.285096292	0.288074887	0.287006692	0.356805008	0.287149763	0.35027343	0.314153584	0.312771919
Nitrogen metabolism	0.618503977	0.661467616	0.640104127	0.671037167	0.661511373	0.688190837	0.670874472	0.685889081	0.705386525	0.690523925	0.672303801	0.679500689	0.692307526	0.700511454	0.680094492	0.706612618	0.65639243	0.710619196	0.683462659	0.698433618	0.703169724
Biosynthesis of vancomycin group antibiotics	0.054285249	0.051482228	0.052407143	0.049622303	0.054954098	0.049156681	0.055233064	0.039376916	0.053020332	0.049729365	0.0499135	0.049580812	0.05083728	0.051845947	0.050442444	0.050318427	0.064517882	0.055995149	0.061960686	0.060142064	0.061592322
Photosynthesis - antenna proteins	0.001763432	0.005622338	0.004499953	0.005004754	0.006176873	4.59E-05	6.78E-05	0	3.17E-05	0.000310099	0	0.000629096	0	4.17E-05	0.000331509	0.000190465	0.003880278	0	8.06E-06	7.92E-06	4.12E-05
